# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
plasmid	cds	295	1272	+	LFFONA_00001	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390EF5D
plasmid	cds	1348	1467	-	LFFONA_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B1P7J0
plasmid	cds	1551	2291	-	LFFONA_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003913D11
plasmid	cds	2962	4131	+	LFFONA_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001FCAB99F
plasmid	cds	4347	4460	+	LFFONA_00005	84.3	4.4e-21	1.0	1.0	0.973	UniRef:UniRef90_A0A376ZRZ3
plasmid	cds	4972	5244	-	LFFONA_00006	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390C7B2
plasmid	cds	6704	8674	+	LFFONA_00007	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001868572E
plasmid	cds	8693	8941	+	LFFONA_00008	-	-	-	-	-	-
plasmid	cds	8823	9194	-	LFFONA_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAE9QAT0
plasmid	cds	9386	10909	-	LFFONA_00010	1019.0	0.0	1.0	1.0	0.996	UniRef:UniRef90_A0A0J2A0F7
plasmid	cds	11501	11980	-	LFFONA_00011	320.0	1.2e-110	1.0	0.994	0.969	UniRef:UniRef90_A0A290G416
plasmid	ncRNA-region	11909	12025	-	-	116.3	8.8e-22	-	-	-	RFAM:RF01497
plasmid	cds	11980	12306	-	LFFONA_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A228TKT9
plasmid	cds	12380	12730	-	LFFONA_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0G9G9B8
plasmid	cds	12782	13000	-	LFFONA_00014	143.0	2.7e-43	0.958	0.841	1.0	UniRef:UniRef90_UPI0001E8E3A5
plasmid	cds	13128	13697	-	LFFONA_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390DF11
plasmid	cds	13971	15839	-	LFFONA_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZNL5
plasmid	cds	15898	20049	-	LFFONA_00017	1298.0	0.0	1.278	1.0	0.783	UniRef:UniRef90_UPI0020273AB7
plasmid	cds	20324	21571	-	LFFONA_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390D707
plasmid	cds	21631	23778	-	LFFONA_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390E935
plasmid	cds	23775	24959	-	LFFONA_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000428421D
plasmid	cds	25101	25403	-	LFFONA_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000391427B
plasmid	cds	25945	26073	+	LFFONA_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZSX8
plasmid	cds	26140	26244	+	LFFONA_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZPP5
plasmid	cds	26241	26678	+	LFFONA_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A222BCK4
plasmid	cds	26678	27118	+	LFFONA_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N6A3
plasmid	cds	27288	27587	-	LFFONA_00026	184.0	1.4e-58	0.990	0.875	0.918	UniRef:UniRef90_A0A376ZNB8
plasmid	cds	27955	28707	+	LFFONA_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N847
plasmid	cds	28734	31286	+	LFFONA_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N6A8
plasmid	cds	31302	31724	+	LFFONA_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003916992
plasmid	cds	31832	32317	+	LFFONA_00030	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390E7BA
plasmid	cds	32581	32706	+	LFFONA_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZNT6
plasmid	cds	32754	33170	+	LFFONA_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZSH9
plasmid	cds	33348	34736	-	LFFONA_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003914461
plasmid	cds	35294	36085	-	LFFONA_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N670
plasmid	cds	36876	37376	-	LFFONA_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZN16
plasmid	cds	37505	37804	+	LFFONA_00036	150.0	1.7e-45	1.0	1.0	0.889	UniRef:UniRef90_L0MMX1
plasmid	cds	37801	38193	+	LFFONA_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZQ86
plasmid	cds	38165	38656	+	LFFONA_00038	327.0	2.9e-113	0.982	0.920	0.969	UniRef:UniRef90_A0A2X1MLW6
plasmid	cds	39119	40294	-	LFFONA_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAN3P0H4
plasmid	cds	40363	42624	-	LFFONA_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N7J0
plasmid	cds	42793	43569	-	LFFONA_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N726
plasmid	cds	43577	44452	-	LFFONA_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N7X4
plasmid	cds	44729	45223	+	LFFONA_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N6A4
plasmid	cds	45489	45764	-	LFFONA_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZSB3
plasmid	cds	45764	46042	-	LFFONA_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N671
plasmid	cds	46596	47024	-	LFFONA_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N7B3
plasmid	cds	47476	48123	+	LFFONA_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A836N679
plasmid	cds	48348	48647	-	LFFONA_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000390B0E8
plasmid	cds	48637	48900	-	LFFONA_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_H1ZXP7
plasmid	cds	49970	50827	-	LFFONA_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003911A1B
plasmid	sorf	50820	50894	-	LFFONA_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A3WIQ2
plasmid	ncRNA	50912	51001	+	LFFONA_00052	101.6	6.2e-19	-	-	-	RFAM:RF00042
plasmid	cds	51128	51385	-	LFFONA_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZNJ8
plasmid	cds	51687	52385	-	LFFONA_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00039116C3
plasmid	cds	53020	53169	-	LFFONA_00055	90.9	2.5e-23	1.041	1.0	0.941	UniRef:UniRef90_UPI0020341794
plasmid	ncRNA	53159	53314	-	LFFONA_00056	93.2	6.1e-15	-	-	-	RFAM:RF01794
plasmid	cds	53448	53756	-	LFFONA_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A837AIL4
plasmid	cds	53753	54439	-	LFFONA_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZMX2
plasmid	cds	54732	55193	-	LFFONA_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003912044
plasmid	ncRNA	55357	55541	+	LFFONA_00060	176.1	1.5e-29	-	-	-	RFAM:RF02876
plasmid	cds	55785	56345	-	LFFONA_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZNQ5
plasmid	cds	56400	57146	-	LFFONA_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A376ZNZ6
plasmid	cds	57166	62436	-	LFFONA_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003917FE8
plasmid	ncRNA	59511	59587	+	LFFONA_00064	106.0	3.3e-17	-	-	-	RFAM:RF02873
plasmid	cds	62436	64625	-	LFFONA_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000BE17935
plasmid	cds	64676	65413	-	LFFONA_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5E8IPT2
plasmid	cds	65616	66392	-	LFFONA_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5E8IQY8
plasmid	cds	66379	66876	-	LFFONA_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q2TU06
plasmid	cds	67092	68372	+	LFFONA_00069	809.0	4.1e-294	1.0	0.839	0.937	UniRef:UniRef90_A0A9X1S189
plasmid	cds	68372	68587	+	LFFONA_00070	-	-	-	-	-	-
plasmid	cds	68584	69339	+	LFFONA_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGJ6
plasmid	cds	69230	71452	-	LFFONA_00072	1190.0	0.0	0.919	0.926	0.981	UniRef:UniRef90_UPI0021C13F0D
plasmid	ncRNA	71326	71411	+	LFFONA_00073	108.8	1.9e-19	-	-	-	RFAM:RF02874
plasmid	cds	71633	73174	+	LFFONA_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0018688EAB
plasmid	cds	73189	73935	+	LFFONA_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q93SD5
plasmid	cds	74006	74716	-	LFFONA_00076	456.0	1.7e-161	0.983	0.820	0.996	UniRef:UniRef90_A0A6C7H2N1
plasmid	cds	74713	76086	-	LFFONA_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J2DVZ3
plasmid	cds	76073	76468	-	LFFONA_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J2DW04
plasmid	cds	76499	76732	-	LFFONA_00079	110.0	2.4e-30	0.961	1.0	0.784	UniRef:UniRef90_UPI001FCF0A8C
plasmid	cds	76722	77267	-	LFFONA_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGR8
plasmid	cds	77254	77538	-	LFFONA_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_C8CGR7
plasmid	cds	77619	77954	+	LFFONA_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G3G3T0
plasmid	cds	77935	78276	-	LFFONA_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_G3G3S9
