# Annotated with Bakta
# Software: v1.11.3
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
plasmid	cds	295	1272	+	LFFONA_00001	repB	RepFIB replication protein A	GO:0003677, GO:0003887, GO:0006270, GO:0006276, RefSeq:WP_021515438.1, SO:0001217, UniParc:UPI000390EF5D, UniRef:UniRef100_UPI000390EF5D, UniRef:UniRef50_Q57154, UniRef:UniRef90_Q57154
plasmid	cds	1348	1467	-	LFFONA_00002		hypothetical protein	SO:0001217, UniParc:UPI0001662ED2, UniRef:UniRef100_B1P7J0, UniRef:UniRef50_A0A075MEU3, UniRef:UniRef90_A0A075MEU3
plasmid	cds	1551	2291	-	LFFONA_00003	intM	putative site-specific recombinase	GO:0003677, GO:0006310, GO:0015074, RefSeq:WP_021515439.1, SO:0001217, UniParc:UPI0003913D11, UniRef:UniRef100_UPI0003913D11, UniRef:UniRef50_P56979, UniRef:UniRef90_P56979
plasmid	cds	2962	4131	+	LFFONA_00004		Inner membrane protein	RefSeq:WP_021515440.1, SO:0001217, UniParc:UPI00039113A6, UniRef:UniRef100_UPI001FCAB99F, UniRef:UniRef50_A0A0H3CW54, UniRef:UniRef90_W1WT74
plasmid	cds	4347	4460	+	LFFONA_00005		Transposase	SO:0001217, UniRef:UniRef50_A0A376ZRZ3, UniRef:UniRef90_A0A376ZRZ3
plasmid	cds	4972	5244	-	LFFONA_00006	papB	Adhesin biosynthesis transcription regulatory PapB family protein	RefSeq:WP_021515441.1, SO:0001217, UniParc:UPI000390C7B2, UniRef:UniRef100_UPI000390C7B2, UniRef:UniRef50_A0A376ZPT2, UniRef:UniRef90_A0A376ZPT2
plasmid	cds	6704	8674	+	LFFONA_00007		Heme/hemopexin utilization protein C	KEGG:K16087, RefSeq:WP_021532814.1, SO:0001217, UniParc:UPI000390DC3F, UniRef:UniRef100_UPI001868572E, UniRef:UniRef50_A0A0E3V262, UniRef:UniRef90_A0A0E3V262
plasmid	cds	8693	8941	+	LFFONA_00008		hypothetical protein	
plasmid	cds	8823	9194	-	LFFONA_00009		IS629 ORF2	SO:0001217, UniParc:UPI0001F6951B, UniRef:UniRef100_A0AAE9QAT0, UniRef:UniRef50_A0A811ARY5, UniRef:UniRef90_Q31SE2
plasmid	cds	9386	10909	-	LFFONA_00010	ltrA	group II intron reverse transcriptase/maturase	EC:2.7.7.49, GO:0000373, GO:0003964, KEGG:K00986, SO:0001217, UniRef:UniRef50_A0A0J2BNC6, UniRef:UniRef90_A0A0J2A0F7
plasmid	cds	11501	11980	-	LFFONA_00011		Mobile element protein	SO:0001217, UniRef:UniRef50_A0A8E0FMV3, UniRef:UniRef90_A0A290G416
plasmid	ncRNA-region	11909	12025	-			ALIL pseudoknot	RFAM:RF01497, SO:0005836
plasmid	cds	11980	12306	-	LFFONA_00012	tnp	IS3 family IS3411 transposase ORF A	GO:0003677, GO:0004803, GO:0006310, GO:0015074, GO:0032196, IS:IS3411, RefSeq:WP_000165309.1, SO:0001217, UniParc:UPI000000E5AD, UniRef:UniRef100_A0A228TKT9, UniRef:UniRef50_P16942, UniRef:UniRef90_P16942
plasmid	cds	12380	12730	-	LFFONA_00013		Transposase	SO:0001217, UniParc:UPI0001DB9205, UniRef:UniRef100_A0A0G9G9B8, UniRef:UniRef50_P16939, UniRef:UniRef90_A0AAN1M820
plasmid	cds	12782	13000	-	LFFONA_00014		transposase	SO:0001217, UniRef:UniRef50_A0A3R8MLG6, UniRef:UniRef90_UPI0001E8E3A5
plasmid	cds	13128	13697	-	LFFONA_00015	luxR	LuxR C-terminal-related transcriptional regulator	RefSeq:WP_021515446.1, SO:0001217, UniParc:UPI000390DF11, UniRef:UniRef100_UPI000390DF11, UniRef:UniRef50_UPI0020221679, UniRef:UniRef90_UPI0020221679
plasmid	cds	13971	15839	-	LFFONA_00016		Putative hemolysin-type calcium-binding region	EC:3.4.24.40, KEGG:K01406, RefSeq:WP_021515447.1, SO:0001217, UniParc:UPI000390FEDD, UniRef:UniRef100_A0A376ZNL5, UniRef:UniRef50_A0A376ZNL5, UniRef:UniRef90_A0A376ZNL5
plasmid	cds	15898	20049	-	LFFONA_00017		GA-like domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0020273AB7
plasmid	cds	20324	21571	-	LFFONA_00018		Membrane fusion protein (MFP) family protein	KEGG:K12542, RefSeq:WP_021515379.1, SO:0001217, UniParc:UPI000390D707, UniRef:UniRef100_UPI000390D707, UniRef:UniRef50_A0A378XIW5, UniRef:UniRef90_A0A2A2BPP0
plasmid	cds	21631	23778	-	LFFONA_00019		Putative ABC transporter	RefSeq:WP_021515380.1, SO:0001217, UniParc:UPI000390E935, UniRef:UniRef100_UPI000390E935, UniRef:UniRef50_A0A6G8JIE4, UniRef:UniRef90_A0A376Y5C2
plasmid	cds	23775	24959	-	LFFONA_00020		Transporter	RefSeq:WP_021515381.1, SO:0001217, UniParc:UPI000391627A, UniRef:UniRef100_UPI000428421D, UniRef:UniRef50_A0A0P7NN04, UniRef:UniRef90_A0A2A2BP01
plasmid	cds	25101	25403	-	LFFONA_00021	papB	Adhesin biosynthesis transcription regulatory PapB family protein	RefSeq:WP_021515382.1, SO:0001217, UniParc:UPI000391427B, UniRef:UniRef100_UPI000391427B, UniRef:UniRef50_A0A376ZP55, UniRef:UniRef90_A0A376ZP55
plasmid	cds	25945	26073	+	LFFONA_00022		Putative transposase	SO:0001217, UniParc:UPI0002A3D730, UniRef:UniRef100_A0A376ZSX8, UniRef:UniRef50_A0A3N1VYH8, UniRef:UniRef90_A0A376ZSX8
plasmid	cds	26140	26244	+	LFFONA_00023		Transposase	SO:0001217, UniParc:UPI0002A22AB5, UniRef:UniRef100_A0A376ZPP5, UniRef:UniRef50_A0A7U9LL95, UniRef:UniRef90_A0A376ZPP5
plasmid	cds	26241	26678	+	LFFONA_00024		Putative IS tranposase	SO:0001217, UniParc:UPI0002A1BD85, UniRef:UniRef100_A0A222BCK4, UniRef:UniRef50_A0A0M1UIS5, UniRef:UniRef90_A0A222BCK4
plasmid	cds	26678	27118	+	LFFONA_00025	insF	IS3 element protein InsF	SO:0001217, UniParc:UPI0002A26D1B, UniRef:UniRef100_A0A836N6A3, UniRef:UniRef50_A0A376ZNI3, UniRef:UniRef90_A0A376ZNI3
plasmid	cds	27288	27587	-	LFFONA_00026		Transposase	SO:0001217, UniRef:UniRef50_A0A376ZNB8, UniRef:UniRef90_A0A376ZNB8
plasmid	cds	27955	28707	+	LFFONA_00027	afaB	Chaperone protein AfaB	RefSeq:WP_021515384.1, SO:0001217, UniParc:UPI0003911F62, UniRef:UniRef100_A0A836N847, UniRef:UniRef50_A0A0V9H8K1, UniRef:UniRef90_A0A0V9H8K1
plasmid	cds	28734	31286	+	LFFONA_00028		Fimbria/pilus outer membrane usher protein	KEGG:K07347, RefSeq:WP_021515385.1, SO:0001217, UniParc:UPI000390DA45, UniRef:UniRef100_A0A836N6A8, UniRef:UniRef50_P53517, UniRef:UniRef90_A0A2P9E6S3
plasmid	cds	31302	31724	+	LFFONA_00029	afaD	Protein AfaD	RefSeq:WP_021515386.1, SO:0001217, UniParc:UPI0003916992, UniRef:UniRef100_UPI0003916992, UniRef:UniRef50_A0A2P9E6L5, UniRef:UniRef90_A0A2P9E6L5
